AXP,1/12/2006,58.8,58.87,58,58.55,4838300
CSCO,1/12/2006,26.95,27.08,26.45,26.69,47014700
HD,1/12/2006,39.65,39.96,38.64,38.97,47279400
IBM,1/12/2006,91.9,91.91,90.55,91.25,5445400
XOM,1/12/2006,76.78,77.5,75.81,77.2,21308400
AXP,4/12/2006,58.8,59.98,58.7,59.89,5511000
CSCO,4/12/2006,26.935,27.57,26.86,27.25,68450100
HD,4/12/2006,38.7,39.47,38.41,39.2,14555500
IBM,4/12/2006,92.5,93.95,92.25,93.51,7507900
XOM,4/12/2006,77.2,77.8,76.51,77.77,19348600
AXP,5/12/2006,59.42,59.98,59.28,59.85,4365500
CSCO,5/12/2006,27.4,27.44,27,27.04,43080300
HD,5/12/2006,39.2,39.7,39.03,39.37,11901800
IBM,5/12/2006,93.6,94.64,93.44,94.48,6886200
XOM,5/12/2006,78.11,78.52,77.47,78.06,20111200
AXP,6/12/2006,59.85,59.92,59.26,59.67,3104000
CSCO,6/12/2006,27.12,27.27,26.95,27.09,34092600
HD,6/12/2006,39.52,40.11,39.26,39.92,17948700
IBM,6/12/2006,94.7,94.87,94.01,94.12,5947300
XOM,6/12/2006,77.82,78.2,76.25,76.31,30695700
AXP,7/12/2006,59.8,60.05,59.05,59.17,5015700
CSCO,7/12/2006,27.2,27.3,26.88,26.88,31417900
HD,7/12/2006,39.57,39.86,38.89,38.93,16351400
IBM,7/12/2006,94,94.43,93.5521,94.23,4310800
XOM,7/12/2006,76.3,76.7,75.28,75.71,27762300
AXP,8/12/2006,59.06,59.85,59.04,59.83,3517600
CSCO,8/12/2006,26.88,27.15,26.7499,26.98,29495600
HD,8/12/2006,38.97,39.3,38.69,38.8,11267400
IBM,8/12/2006,93.65,94.39,93.47,93.86,4140000
XOM,8/12/2006,76.2,76.42,75.44,75.5,16429900
AXP,11/12/2006,59.77,59.99,59.04,59.31,5031300
CSCO,11/12/2006,26.9,27.48,26.85,27.11,43035200
HD,11/12/2006,38.8,38.95,38.46,38.79,15648700
IBM,11/12/2006,93.72,94.35,93.56,93.64,3459200
XOM,11/12/2006,75.25,75.84,74.82,75.36,18641100
AXP,12/12/2006,59.15,59.25,58.59,59.12,5459500
CSCO,12/12/2006,27.12,27.4001,26.76,27.08,43065500
